"","Var","v.test","Mean.in.category","Overall.mean","p.value"
"1","Sire.Homogeneity",26.062163656689,0.859324175614035,0.719371780603725,9.79462637769639e-150
"2","White",23.4431071538632,92.2516959064327,79.0354046242775,1.55423039805511e-121
"4","RepChange12",17.6725898243966,15.6569200211061,7.50237899044305,6.81930907628117e-70
"6","At.Least.High.School.Diploma",15.9043407957625,86.4926315789474,83.0091040462428,5.91223390377221e-57
"7","Production.transportation.and.material.moving.occupations",15.7586547547637,19.0017543859649,16.2519588953115,5.98943588946009e-56
"10","MarriedHouseholdRatio",12.8990791221949,0.789721732228823,0.762689975473756,4.555078575045e-38
"12","Libertarians.2016",11.3764728622552,3.66656513690058,3.16345514580845,5.47703515536957e-30
"34","Freq",-2.47855350168078,2.36140350877193,2.78998073217726,0.0131916325420572
"102","Uninsured",-25.4707849613609,0.139004678362573,0.179094412331407,4.1552228420893e-143
"105","Winter.Tmax",-27.5842070681408,357.047326238129,449.01951222553,1.72137953472801e-167
