"","Fips","NAME","FamilyRatio","MarriedHouseholdRatio","RenterOccupied","AveHousehouldSize","AveFamilySize","TotalFemale","MaleUnder20","Male20to24","Male25to44","Male44to54","Male55to59","MaleOver59","FemaleUnder20","Female20to24","Female25to44","Female45to54","Female55to59","FemaleOver59","HusbandWifeFamilyRatio"
"1","01001","Autauga County, Alabama",0.744968102467732,0.754580456718003,0.245932446466545,2.68,3.09,0.513129684264536,0.310549888968347,0.0579246490270616,0.267793292935376,0.152056908427114,0.057360081297753,0.146418112991929,0.282086993786158,0.0550317834440397,0.271944861081351,0.148739375758874,0.0556745946718092,0.186522391257767,0.339219330855019
"2","01007","Bibb County, Alabama",0.722746133534515,0.725817675713292,0.244184584433547,2.6,3.04,0.463190050185468,0.247784732948541,0.0659295992195756,0.316640923502154,0.153076985610926,0.0596699455328835,0.181835311852271,0.25607687959299,0.0640663274919917,0.257772752967778,0.141605426794799,0.0628415300546448,0.217637083097795,0.278183716075157
"3","01017","Chambers County, Alabama",0.67401133998421,0.631562133958045,0.293547692528529,2.42,2.84,0.521759462224171,0.266699260526798,0.0612968282099859,0.245248426327691,0.148505775224592,0.0711972132249588,0.189782657405333,0.233531257002017,0.0516468742997983,0.236388079766973,0.146706251400403,0.0729330047053551,0.258794532825454,0.19827494409541
"4","01019","Cherokee County, Alabama",0.705157161678901,0.783931669558254,0.214662149444758,2.42,2.89,0.504097887567817,0.246896337678461,0.0498913718187461,0.232541899441341,0.156424581005587,0.0747982619490999,0.23555453782154,0.231432715059919,0.0469429814517976,0.223341729638959,0.152965422486833,0.0721318983283719,0.27318525303412,0.252502335513146
"5","01025","Clarke County, Alabama",0.696913998258682,0.692531926707385,0.226468027474122,2.47,2.87,0.52719389927612,0.291878172588832,0.0523988865236614,0.231291960045849,0.151956770918618,0.0661535942361225,0.185035612012629,0.260371539760629,0.0458183420221749,0.245906454218371,0.148175343270431,0.0659372934870402,0.233791027241354,0.258606329816768
"6","01013","Butler County, Alabama",0.675892121069368,0.640878201777313,0.297255918030856,2.43,2.85,0.530338473289731,0.298231347834926,0.0542793250660703,0.227993494612726,0.142406993291319,0.0725757267737345,0.18111441173823,0.238095238095238,0.0572508776667567,0.239535511747232,0.142137006031146,0.0735439733549374,0.24943739310469,0.228088517163269
"7","01009","Blount County, Alabama",0.749606080266939,0.808469860896445,0.194364630642321,2.63,3.02,0.50521614737797,0.281820746068683,0.0556025668147521,0.263979973203582,0.143431351808758,0.0638177843593541,0.187396408839779,0.263121546961326,0.0528314917127072,0.252589779005525,0.138708563535912,0.0650552486187845,0.227693370165746,0.321978361669243
"8","01011","Bullock County, Alabama",0.637383177570093,0.493506493506494,0.31214953271028,2.46,2.77,0.458310426974528,0.236637347767253,0.0663058186738836,0.297699594046008,0.164411366711773,0.0732408660351827,0.191123550579768,0.262694922031188,0.0637744902039184,0.231307477009196,0.144942023190724,0.0669732107157137,0.23030787684926,0.170087976539589
"9","01021","Chilton County, Alabama",0.730281434955913,0.764555077737347,0.234327817369247,2.61,3,0.504891964347089,0.285125879303961,0.0611810440577564,0.269390966308775,0.144900037023325,0.0634024435394298,0.17258906285455,0.267347401860676,0.0567733151803948,0.262536873156342,0.139142273655548,0.065214431586113,0.208985704560926,0.307889513728085
"10","01023","Choctaw County, Alabama",0.660245482441187,0.705912729150529,0.170473917490624,2.34,2.87,0.517425499675301,0.270035885167464,0.0515849282296651,0.222488038277512,0.153558612440191,0.0723684210526316,0.214474968623623,0.232185190350021,0.0453214335518059,0.225770464370381,0.153674522381816,0.074745502719286,0.268302886626691,0.242705912729151
