"","Var","v.test","Mean.in.category","Overall.mean","p.value"
"1","elevation",28.2703652299253,991.271489686881,399.052269548197,7.99925543412381e-176
"4","Median.Age",23.432391816529,45.2066831683168,39.9027617212588,1.99886481644474e-121
"6","MarriedHouseholdRatio",21.6157368561301,0.834867920579707,0.762689975473756,1.27747159296556e-103
"9","AgLandAcres",19.8532019826233,215715.49009901,72353.2239884393,1.03397514723144e-87
"10","Farming.fishing.and.forestry.occupations",18.3717218301729,4.32054455445545,2.11040462427746,2.21279260289343e-75
"11","Libertarians.2016",14.502534681707,4.18537802933292,3.16345514580845,1.16757521649489e-47
"12","At.Least.High.School.Diploma",14.4098822400445,88.0381188118812,83.0091040462428,4.48474405142429e-47
"20","Republicans.2016",12.3355202086935,72.5429576162995,63.5966680742065,5.83111005198605e-35
"43","Freq",-6.29913987319044,1.05445544554455,2.78998073217726,2.99301817380652e-10
"76","AveFamilySize",-16.649717479595,2.80205445544554,2.92302504816956,3.04034113367479e-62
"84","AveHousehouldSize",-20.2427173151151,2.28282178217822,2.47892421323057,4.11825353821052e-91
